,id,kanji,strokes,grade,kanji_classification,jlpt_test,name_of_radical,radical_freq,reading_with_joyo,reading_beyond_joyo,nb_of_on,on_within_joyo,kanji_id_nelson,nb_meanings_on,translation_of_on,nb_kun_within_joyo_inflections,nb_kun_within_joyo_no_inflections,kun_within_joyo,nb_meanings_kun,translation_of_kun,year_inclusion,kanji_frq_proper_nouns,acc_frq_on_with_proper_nouns,acc_frq_on_with_proper_nouns.1,on_ratio_with_proper_nouns,acc_frq_on_beyond_joyo_with_proper_nouns,acc_frq_kun_beyond_joyo_with_proper_nouns,acc_on_ratio_beyond_joyo_with_proper_nouns,kanji_frequency_without_proper_nouns,acc_frq_on_without_proper_nouns,acc_frq_kun_without_proper_nouns,on_ratio_without_proper_nouns,acc_frq_on_beyond_joyo_without_proper_nouns,acc_frq_kun_beyond_joyo_without_proper_nouns,on_ratio_beyond_joyo_without_proper_nouns,left_kanji_prod,right_kanji_prod,acc_frq_left_prod,acc_frq_right_prod,symmetry,left_entropy,right_entropy,left_1_sound,left_1_frq,left_2_sound,left_2_frq,left_3_sound,left_3_frq,left_4_sound,left_4_frq,left_5_sound,left_5_frq,left_6_sound,left_6_freq,right_1_sound,right_1_frq,right_2_sound,right_2_frq,right_3_sound,right_3_frq,right_4_sound,right_4_frq,right_5_sound,right_5_frq,right_6_sound,right_6_frq,right_7_sound,right_7_frq,bert_small_embeddings,tsne_2D_coordinates
1,2,哀,9,7,会意 Com. Ideographic,1,"Kuchi, Kuchihen",70,アイ、あわ-れ、あわ-れむ,かな,1,ai,791,3,"pity, have mercy on, sympathize with",2,1,"awa(re), awa(remu)",8,"pity, have mercy on, sympathize with, grief, sorrow, misery; compassion, pathos",1981,4792,3283,590,0.848,0,241,0.798,4651,3147,590,0.842,0,241,0.791,1,16,507,2215,R,0,2.595607663,ai,2,,0,,0,,0,,0,,0,ai,507,,0,,0,,0,,0,,0,,0,"[-0.999997    0.11062591 -0.99985594  0.6530217  -0.9967675   0.15348265
 -0.9891949   0.37095022  0.15504424 -0.00781275 -0.91305393  0.0224348
 -0.21511848  1.         -0.7584377  -0.88615465  0.8535556  -0.11043635
 -0.91231424  0.9882519   0.9091281   0.1905396   0.9952599   0.9510399
 -0.99993926 -0.05769242 -0.9999049   0.8248539   0.9588443   0.04296945
  0.01435464  0.01515796 -0.9393234  -0.3911447  -0.46167088  0.99985063
 -0.9416866  -0.187468    0.9643328  -0.99927884  0.9677338   0.9870005
 -0.9989622   0.9641194  -0.9999973  -0.28563836 -0.9997575   0.9990201
  0.86476415  0.99921477  0.8492432  -0.6984219   0.04533306  0.8048938
  0.99599975  0.99995637 -0.9988863  -0.5471837   0.50773627 -0.96305263
 -0.05293064  0.44246778 -0.9157035   0.97121346 -0.7875308  -1.
 -0.27713943  0.7138428   0.91110426  0.9840907   0.9965977   0.11471362
 -0.99958855  0.13337262  0.9382088  -0.98950976 -0.5115159   0.25989157
 -0.46699995  0.32724124  0.6770179  -0.12567967 -0.9886317  -0.9998098
  0.99977493 -0.99378705  0.72932863  0.10625016 -0.7042801   0.9030763
 -0.9898773   0.9924305   0.15643448  0.9862262   0.6182019   0.45992434
 -0.9458716   0.70629114 -0.9999662  -0.9516503  -0.9985069   0.90684474
 -0.9999221  -0.983425   -0.99717456  0.66674954 -0.999148   -0.9989285
 -0.5121615   0.98211974  0.99979025  0.80342036 -0.90676737  0.9934569
 -1.         -0.0101323  -0.6627061  -0.61172503  0.25080922 -0.99154335
  0.39098713 -0.99999756 -0.51497054  0.93334705 -0.999858    0.9429901
  0.9824977   0.98027134]",[-3.2735367 -7.0379295]
5,6,悪,11,3,形声 Phonetic,4,"Kokoro, Risshinben, Shitagokoro",76,アク、オ、わる-い,,2,"aku, 	o",1873,5,"evil, wrong, vice, wickedness, lawlessness",1,1,waru(i),17,"bad, evil, wrong; immoral; malicious; blamable; injurious; detrimental, malignant; be indisposed; inferior; homely; poor (memory); inclement; unlucy; out of order; unsavory",1981,91570,39404,30360,0.565,0,0,0.565,91516,39350,30360,0.564,0,0,0.564,31,69,12904,38512,R,3.09050188,2.791153197,aQ,21,aku,15,waru,1,o,40,,0,,0,aku,11,o,1,waru,20,,0,,0,,0,,0,"[-0.9999947   0.1781076  -0.999022    0.8171442  -0.98983806 -0.6939533
 -0.986628   -0.22873774  0.0373879   0.05968444 -0.8172041  -0.05294612
 -0.12961444  1.         -0.44133464 -0.9880787   0.37345988  0.10749245
 -0.94951785  0.987556    0.8788704   0.06148875  0.9886542   0.70368236
 -0.99908805 -0.06159642 -0.9999966   0.18718135  0.99345595  0.13283761
  0.11901528 -0.11192717 -0.9520805  -0.6801968  -0.13470621  0.99999547
 -0.97776705 -0.09159131  0.99099    -0.9971009   0.9811707   0.97667396
 -0.9874784   0.8410096  -0.9999179  -0.24796021 -0.99228835  0.99780285
  0.829588    0.99923223 -0.09602191 -0.7484148  -0.04558184 -0.3194333
  0.9863041   0.9990201  -0.9712626  -0.11714087  0.9416533  -0.7307171
  0.02246391  0.4678994  -0.9929684   0.9843029  -0.92785895 -0.9999989
  0.4634374   0.91237605  0.91018134  0.98969907  0.999225    0.14628322
 -0.9979594   0.02840944  0.9198501  -0.99904513 -0.9851582   0.10627978
  0.2650398   0.06144647  0.75964594 -0.05138361 -0.26691225 -0.9999707
  0.99991167 -0.9781269   0.8225345  -0.34944654 -0.5761007   0.61729544
 -0.85201377  0.9669662  -0.8041719   0.97554517  0.5365753  -0.10602107
 -0.8206394   0.97933316 -0.9997138  -0.9433115  -0.9888889   0.9727734
 -0.9996489  -0.9793292  -0.9852134  -0.52039087 -0.99968827 -0.9959395
  0.2572536   0.92634016  0.99951017 -0.48692012 -0.96416444  0.99854416
 -0.99999774  0.04737052 -0.84954125 -0.01432959  0.16906193 -0.98392224
  0.17331466 -0.9999908  -0.5198569   0.91690755 -0.9995784   0.9290054
  0.97992235  0.9782587 ]",[1.7864795  0.00977885]
6,7,握,12,7,形声 Phonetic,1,Tehen,89,アク、にぎ-る,,1,aku,2232,6,"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)",1,1,nigi(ru),6,"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)",1981,26582,13541,13041,0.509,0,0,0.509,26582,13541,13041,0.509,0,0,0.509,2,2,9997,3544,.,0.544231018,0.289743675,aku,3,,0,,0,,0,,0,,0,aku,9,,0,,0,,0,,0,,0,,0,"[-0.99998254  0.08522733 -0.9997207   0.00912717 -0.95792454 -0.40414003
 -0.9834269  -0.87862533 -0.00915409 -0.09705097 -0.89288986 -0.25028935
  0.00246445  1.          0.05090371 -0.99361974  0.7843052   0.20935239
 -0.86805975  0.9611952   0.9056839  -0.03431276  0.9781724   0.7930732
 -0.9989024  -0.04721326 -0.9999986  -0.23701364  0.99774086  0.09483435
 -0.04685367 -0.12274831 -0.99611336  0.617294   -0.29888317  0.9999942
 -0.98234916  0.02911541  0.98182106 -0.9819752   0.8303391   0.9550862
 -0.96245193  0.7245328  -0.9999829  -0.0227509  -0.9971444   0.9968885
  0.76649165  0.99822736  0.85717654 -0.5984054  -0.1727425   0.56722397
  0.9794166   0.9998153  -0.9953178  -0.8787556   0.301647   -0.95448464
 -0.02793742  0.92384166 -0.9259782   0.96685106 -0.8759566  -0.99999934
  0.12087382  0.87011486  0.40953317  0.990314    0.999472    0.17079914
 -0.99857587 -0.1338409   0.5902379  -0.99063903 -0.531081    0.03993382
 -0.8685772  -0.03764094  0.6238207   0.09572862  0.0214384  -0.9997419
  0.99994296 -0.97441334  0.7775297  -0.9446178  -0.3432358   0.98529035
 -0.98805636  0.9299459   0.16123885  0.9740152   0.536303    0.28717837
 -0.92618465  0.7884455  -0.9995509  -0.99425596 -0.9881647   0.98059636
 -0.99965775 -0.41785416 -0.8892616  -0.9449288  -0.9999367  -0.9971927
  0.57526076  0.92989206  0.9992996  -0.78972006 -0.97873974  0.99853456
 -0.9999993  -0.11911307  0.073755   -0.5125757   0.09805004 -0.97015154
  0.08776842 -0.9999834  -0.44183832  0.7118975  -0.9989187   0.70541984
  0.9388926   0.9409342 ]",[  2.3602254 -34.228527 ]
11,12,安,6,3,会意 Com. Ideographic,4,Ukanmuri,36,アン、やす-い,,1,an,1311,4,"be rested, feel at ease, be relieved, repose",1,1,yasu(i),6,"cheap, inexpensive; peaceful, quiet; gossipy, thoughtless",1981,358754,264112,62546,0.809,0,0,0.809,276286,231554,44593,0.839,0,0,0.839,16,32,71924,163212,R,2.386551719,2.581610849,an,159,yasu,3,,0,,0,,0,,0,an,65,yasu,6,,0,,0,,0,,0,,0,"[-0.9999486  -0.01371247 -0.9995535  -0.79570794 -0.99497867 -0.67843866
 -0.98434585  0.90807724  0.06646364 -0.06964526 -0.6465495  -0.07334932
 -0.2132578   0.99999833 -0.12650806 -0.6854605   0.7407775   0.00378607
 -0.652803    0.996737    0.8696418   0.15322462  0.987896    0.92544895
 -0.9999989  -0.02672737 -0.99991685  0.9765672   0.98609334  0.12802655
 -0.00969635  0.06107133 -0.8939502  -0.6561781   0.2462087   0.99978244
 -0.9170474  -0.2141117   0.9799027  -0.99240416  0.9716683   0.98695916
 -0.98983234  0.9912791  -0.99882656 -0.26449    -0.9957752   0.97934186
  0.9729348   0.99917793  0.8765654   0.08183191 -0.08904833  0.9436853
  0.98410624  0.98137176 -0.6851062  -0.9936933   0.8581025  -0.9432804
 -0.14478633  0.55436355 -0.9951451   0.9964933  -0.89030194 -0.9999957
 -0.43129963  0.9708444   0.36222923  0.9477315   0.9993878   0.09266523
 -0.997629    0.0230816   0.97077024 -0.99902695 -0.8249873   0.12403855
 -0.67202574  0.19844817  0.8173068  -0.24135353 -0.9957017  -0.99996483
  0.9998517  -0.9623972   0.23627049  0.95914495  0.6866582   0.90275216
 -0.69549733  0.9948297  -0.9244531   0.9831649  -0.8586975  -0.29694018
 -0.98740715  0.7301194  -0.99990785 -0.9203744  -0.99267787 -0.09705109
 -0.9997417  -0.9493758  -0.99815017  0.8739778  -0.99358964 -0.999328
  0.3941197   0.9661425   0.99976856  0.7601826  -0.9685857   0.99918115
 -0.99997395  0.06225848  0.38679647  0.26826176  0.2598693  -0.9097572
  0.2788428  -0.9999398  -0.20875287  0.9273369  -0.9996585   0.80939907
  0.9801665   0.9945891 ]",[-17.973091 -12.748314]
13,14,暗,13,3,形声 Phonetic,3,"Nichi, Nichihen",38,アン、くら-い,,1,an,2503,1,dark,1,1,kura(i),6,"dark, gloomy, somber; dim, faint; ignorant ",1981,20182,13431,6735,0.666,0,0,0.666,20182,13431,6735,0.666,0,0,0.666,2,34,1533,11307,R,0.014382121,3.531524963,an,10,kura,765,,0,,0,,0,,0,an,1,,0,,0,,0,,0,,0,,0,"[-0.9999987   0.05003069 -0.9996825   0.637824   -0.9956461  -0.2540889
 -0.5397913  -0.8209312   0.09139794  0.08524405 -0.28397876 -0.07604084
 -0.05660966  0.9999972  -0.73956853 -0.97109044  0.47615153 -0.06318849
 -0.9633473   0.9610424   0.9093676   0.14753644  0.98034465  0.5257547
 -0.9999725  -0.03238223 -0.9992954   0.86700773  0.99862564  0.1707087
  0.10792176  0.11698536 -0.9916877  -0.9382754   0.98219705  0.9999492
 -0.9790883  -0.11716633  0.98855805 -0.99779946  0.98830515  0.98390794
 -0.9989083   0.96620744 -0.99570876 -0.3181609  -0.9906599   0.9986001
  0.9814459   0.9887455   0.82934356 -0.09840948  0.05141621  0.5118931
  0.9727292   0.8828567   0.17467594 -0.983228    0.9940412  -0.46797568
  0.0188354   0.69448984 -0.98147184  0.9838264  -0.9794235  -0.9999972
  0.519436    0.95741427  0.93517125  0.9879243   0.9970384   0.04082368
 -0.9927908   0.21052125  0.8946339  -0.9988806  -0.94955426  0.17525336
 -0.20993032  0.1876487   0.63792616 -0.16043128 -0.98765033 -0.9999224
  0.9999703  -0.98456484 -0.01640101  0.36616609 -0.29080603  0.38020673
  0.7774019   0.99631065 -0.88800913  0.9293997   0.5767897   0.61928105
 -0.87505096  0.8866118  -0.99995244 -0.90068126 -0.92695326  0.91307753
 -0.99983    -0.9859444  -0.9981137  -0.09935015 -0.9988007  -0.9931842
  0.68840396  0.9173935   0.9997395   0.7824893  -0.9229468   0.9987242
 -0.99992627  0.10198306 -0.1702356   0.6512774   0.18850417 -0.9952001
  0.23148713 -0.9999969  -0.8090877   0.94783056 -0.99985284  0.99794525
  0.971417    0.9854865 ]",[-26.761522  34.432   ]
15,16,衣,6,4,象形 Pictographic,2,"Koromo, Koromohen",21,イ、ころも,エ、きぬ、き、ぎぬ、ぎ,1,i,5420,1,garment,1,1,koromo,5,"clothes, robe; dressing; frosting; coating",1981,17482,11467,3599,0.761,161,856,0.723,14250,9713,3112,0.757,53,197,0.747,23,12,2538,8309,S,2.941346085,2.050222867,i,8,e,9,koromo,1,,0,,0,,0,i,900,koromo,233,goromo,204,e,42,gi,20,ginu,11,,0,"[-0.9999882   0.01048335 -0.9977785   0.48565662 -0.9948672   0.5773137
 -0.7196052  -0.8744399   0.00716397  0.02720207 -0.3700929  -0.03387177
 -0.04184739  0.99998766 -0.5461981  -0.2073068   0.15760438  0.01936454
 -0.94528455 -0.4564494   0.9539225  -0.00330859  0.1135657  -0.29681733
 -0.9992087  -0.02358159 -0.9984206   0.9498004   0.99500614  0.16592428
 -0.10429037 -0.03848546 -0.99013454 -0.3571502   0.9252744   0.998984
 -0.97890013  0.02088952  0.9940129  -0.9946637   0.92649907  0.8689807
 -0.99789584  0.9412829  -0.99868035 -0.13799216 -0.97925395  0.9985773
  0.8637773   0.99407816  0.95737517 -0.3244329  -0.05141728  0.8611758
  0.9053631   0.9810658  -0.7887066  -0.8365411   0.9680267  -0.54403883
  0.07804482  0.86838907 -0.50601906  0.878933   -0.695512   -0.99998754
 -0.7925234   0.67781013  0.39392135  0.94503653  0.99637336  0.0476185
 -0.9500131  -0.01389759  0.7588929  -0.99683094 -0.87135285  0.23579535
 -0.7611624   0.08802453 -0.8530227   0.09060479 -0.9884865  -0.99919885
  0.9997923  -0.4048014  -0.565684   -0.9689111  -0.48382258  0.54316115
 -0.411814    0.9892201  -0.955909    0.9537537   0.7469759   0.8397277
 -0.8573914   0.5855727  -0.9997913  -0.90445113 -0.86794764  0.9605086
 -0.99919134 -0.75142676 -0.80992424 -0.4433362  -0.9996745  -0.98681575
  0.8943938   0.9677912   0.99601203  0.20018433 -0.8571717   0.993523
 -0.99991006 -0.02939356 -0.5011232  -0.32953668  0.00839716 -0.99887794
  0.03805535 -0.9999172  -0.8517235   0.5222252  -0.99966234  0.9958753
  0.8123689   0.9881179 ]",[-4.4747624 37.217728 ]
16,17,位,7,4,会意 Com. Ideographic,3,"Hito, Ninben, Hitoyane",104,イ、くらい,,1,i,162,3,"rank, place, grade",1,1,kurai,8,"grade, rank; court order, dignity, nobility; situation; throne, crown",1981,268425,265652,290,0.999,0,0,0.999,265390,262687,223,0.999,0,0,0.999,53,6,88194,11487,P,3.320931889,0.15025169,i,11,,0,,0,,0,,0,,0,i,88,gurai,27,,0,,0,,0,,0,,0,"[-0.99999744  0.04924449 -0.9986645  -0.245026   -0.9502089  -0.33777457
 -0.74976456 -0.9326391   0.0474039  -0.11080063 -0.70897055 -0.06739159
 -0.15242833  0.9999946  -0.35069084 -0.1940463   0.6577994   0.10331044
 -0.78112864 -0.20495123  0.8379246   0.05683513 -0.41952738  0.13016918
 -0.9976663  -0.08042184 -0.99931896  0.8925553   0.99388367  0.11481187
 -0.06896094 -0.00243609 -0.98580515 -0.8009908   0.5399447   0.99993616
 -0.9963705  -0.08950987  0.9955453  -0.99328816  0.9644938   0.9506769
 -0.9962278   0.82982165 -0.99831223 -0.1801739  -0.97719663  0.99951625
  0.79013133  0.99874735  0.59119123  0.29528916 -0.03369912  0.6122463
  0.9620783   0.97259784 -0.7194321  -0.9514438   0.59021854 -0.5620109
 -0.12998445  0.9696944  -0.9559924   0.88778335 -0.8658376  -0.9999962
 -0.58078104  0.87176     0.41911474  0.9952535   0.97046703  0.11106889
 -0.9920785   0.06076295  0.94440955 -0.98812485 -0.8915197   0.19484
 -0.9027015   0.08592826 -0.26309273 -0.0485452  -0.9191765  -0.99507767
  0.9996348  -0.993316   -0.964031   -0.9954543  -0.8251805   0.5026016
 -0.21505156  0.95397556 -0.17335448  0.7885613   0.9239241   0.8307122
 -0.16579717  0.9082018  -0.9999183  -0.99329627 -0.97282666  0.9688234
 -0.9997057  -0.84793293 -0.9364873  -0.9081378  -0.9982038  -0.9850087
 -0.22321749  0.94113904  0.99879783  0.6160171  -0.7933208   0.9919511
 -0.99994797  0.08143126 -0.94844335 -0.6158781   0.2308129  -0.99973136
  0.30226725 -0.99997836 -0.8645123   0.7893018  -0.9997399   0.9969744
  0.9557073   0.94786894]",[ 2.8493104 44.63165  ]
17,18,囲,7,4,形声 Phonetic,2,Kunigamae,12,イ、かこ-む、かこ-う,,1,i,945,1,enclosure,2,1,"kako(mu), kako(u)",7,"enclose, surround, encircle; besiege; preserve, store; keep",1981,58559,48971,9578,0.836,0,0,0.836,58559,48971,9578,0.836,0,0,0.836,7,2,24546,13059,S,1.41976961,0.00216178,i,13,,0,,0,,0,,0,,0,i,24,,0,,0,,0,,0,,0,,0,"[-9.9999446e-01  2.1348649e-03 -9.9876630e-01 -4.7004470e-01
 -9.5156521e-01 -2.8623205e-01 -7.8706032e-01 -8.6803985e-01
  6.5177687e-02 -1.5063416e-02 -6.6816723e-01 -1.5648232e-01
 -5.9486881e-02  9.9999470e-01 -3.8908228e-01 -2.1839257e-01
 -3.5424069e-02  7.6365635e-02 -8.6312997e-01  9.2408508e-02
  9.3614960e-01  4.5985531e-02  3.6681491e-01  1.3210909e-01
 -9.9969524e-01  4.5403969e-02 -9.9717563e-01  8.8694990e-01
  9.9425232e-01  1.8733378e-02 -8.4338831e-03 -4.0354967e-02
 -9.9032080e-01 -9.5047408e-01  9.2035007e-01  9.9994636e-01
 -9.9243158e-01 -8.7525573e-04  9.9700695e-01 -9.9865234e-01
  9.9246877e-01  8.9692044e-01 -9.9938655e-01  9.7633266e-01
 -9.9904615e-01 -1.9787994e-01 -9.8110354e-01  9.9860865e-01
  8.1418234e-01  9.9459201e-01  9.7873402e-01  3.4078565e-01
 -5.8724843e-02  8.6972409e-01  9.8805225e-01  9.8105204e-01
 -7.4290818e-01 -9.7429949e-01  9.9671274e-01 -8.5713357e-01
  1.7955436e-01  7.6924884e-01 -9.8659247e-01  9.4391876e-01
 -4.3387026e-01 -9.9999160e-01 -7.7690715e-01  7.4491262e-01
  8.6059952e-01  9.5264143e-01  9.6255165e-01  2.1554387e-01
 -9.9424350e-01  8.4102906e-02  7.4128735e-01 -9.9829102e-01
 -3.1528315e-01  9.4245635e-02 -3.9437595e-03  1.4790677e-01
 -2.8690875e-01  1.9538358e-02 -9.9885833e-01 -9.9095160e-01
  9.9991989e-01 -9.8015398e-01 -7.2136186e-02 -6.8787950e-01
 -8.6924291e-01  1.8060872e-01 -2.1682374e-01  9.9424815e-01
 -9.6020460e-01  9.3354338e-01  8.0577368e-01  9.6492422e-01
 -8.2253963e-01  9.1341907e-01 -9.9982911e-01 -7.4767691e-01
 -8.9756906e-01  7.9929084e-01 -9.9969262e-01 -5.9011984e-01
 -9.9136311e-01  4.7226295e-01 -9.9955606e-01 -9.8411697e-01
  8.8048440e-01  5.2162641e-01  9.9680191e-01  6.4174873e-01
 -8.1522352e-01  9.9445331e-01 -9.9996281e-01  3.6321048e-02
 -5.5659652e-01  2.6799935e-01  8.7457098e-02 -9.9913520e-01
  7.1302697e-02 -9.9994391e-01 -7.2248012e-01  9.7285259e-01
 -9.9956638e-01  9.9882621e-01  9.6781993e-01  9.9565631e-01]",[-5.5186853 29.35514  ]
20,21,委,8,3,会意 Com. Ideographic,2,"Onna, Onnahen",36,イ、ゆだ-ねる,まか,1,i,1204,2,"entrust to, discard",1,1,yuda(neru),2,"entrust to, devote (oneself) to",1981,200980,194158,3477,0.982,0,2,0.982,197575,193626,3477,0.982,0,2,0.982,2,8,9067,159448,S,0.364815522,0.402412887,i,159,,0,,0,,0,,0,,0,i,9,,0,,0,,0,,0,,0,,0,"[-9.99999404e-01  3.10650431e-02 -9.99736667e-01 -9.57454205e-04
 -9.99522388e-01 -2.99030095e-01 -9.91469741e-01  1.28946930e-01
 -2.86865165e-03 -2.58665234e-02 -4.41101372e-01 -1.95529014e-02
  3.59246833e-03  1.00000000e+00 -6.30303502e-01 -8.90536308e-01
  6.67664230e-01  5.44664413e-02 -9.51420963e-01  9.23663139e-01
  9.88918245e-01  9.37727839e-03  9.91992056e-01  4.38039124e-01
 -9.99844074e-01 -6.50380924e-02 -9.99942124e-01  4.37347814e-02
  9.77784872e-01  7.73633793e-02 -4.10734378e-02 -5.78896888e-02
 -9.03362155e-01  2.02584639e-01 -8.13208461e-01  9.99632895e-01
 -9.83318210e-01  1.23000434e-02  9.90421891e-01 -9.98231232e-01
  9.95585740e-01  8.84606540e-01 -9.98070180e-01  9.77477670e-01
 -9.99999404e-01 -1.58929646e-01 -9.98794138e-01  9.99629855e-01
  9.91093278e-01  9.99823272e-01  8.63285363e-01  1.09795295e-01
 -6.69037849e-02  7.59402096e-01  9.76849556e-01  9.99982774e-01
 -9.99227047e-01 -4.97012854e-01  9.69019294e-01 -9.23923612e-01
  7.34177306e-02  8.71361375e-01 -9.06835377e-01  9.82380927e-01
 -8.77076566e-01 -1.00000000e+00 -9.35851038e-01  8.68777931e-01
  8.12477052e-01  9.90894198e-01  9.99923229e-01  1.13813154e-01
 -9.98163640e-01 -3.49269062e-02  8.22018027e-01 -9.96510267e-01
 -9.67974186e-01  8.56906921e-02 -1.27772436e-01  6.51812851e-02
  3.11182469e-01  9.63061228e-02 -9.94642913e-01 -9.99990106e-01
  9.99980092e-01 -9.53062415e-01  6.27129138e-01 -7.14984417e-01
 -2.74354666e-01  9.02824521e-01 -9.96201098e-01  8.82874370e-01
 -9.56149161e-01  9.34756994e-01  3.58554125e-01  2.94705063e-01
 -8.82674634e-01  9.53565359e-01 -9.99972403e-01 -9.21945214e-01
 -9.89897728e-01  6.58177614e-01 -9.99890864e-01 -9.42798495e-01
 -9.98491824e-01  3.46307009e-01 -9.99669731e-01 -9.99140918e-01
  8.11164260e-01  8.01311910e-01  9.99808371e-01  6.79861367e-01
 -9.31500196e-01  9.97717261e-01 -1.00000000e+00 -1.32736146e-01
 -7.08492398e-01 -3.09913725e-01  1.34426519e-01 -9.99608755e-01
  1.73592731e-01 -9.99999404e-01 -6.76742852e-01  8.02235961e-01
 -9.99970555e-01  9.75951910e-01  8.62070560e-01  9.59084928e-01]",[ -0.43258807 -14.477166  ]
23,24,畏,9,7,象形 Pictographic,0,"Ta, Tahen",19,イ、おそ-れる,かしこ,1,i,3742,3,"fear, be overawed, be apprehensive",1,1,oso(reru),3,"fear, be overawed, be apprehensive",2010,503,404,20,0.953,0,79,0.803,503,404,20,0.953,0,79,0.803,0,4,0,404,.,0,1.11273935,i,404,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"[-0.9999962   0.00543428 -0.9998059  -0.40004683 -0.9985413  -0.90804565
 -0.9919511  -0.3283318   0.12605734 -0.04656724 -0.43174598 -0.09918286
 -0.1374049   1.         -0.19665943 -0.98405266  0.6967224   0.08461424
 -0.7711186   0.9879092   0.9351896   0.10251374  0.9882755   0.8626346
 -0.99996716 -0.05361871 -0.9999966   0.28170937  0.98430765  0.09669814
  0.0421484  -0.01926555 -0.9594554   0.5046069  -0.17500632  0.99987304
 -0.9787622  -0.12487534  0.9947096  -0.99680275  0.99027735  0.9773555
 -0.9918687   0.9840948  -0.9999839  -0.23345268 -0.9975523   0.99282074
  0.98516136  0.99784625  0.8879743  -0.11067993 -0.02922468  0.94349205
  0.9791579   0.99959636 -0.983148   -0.976059    0.864548   -0.9570613
 -0.01921817  0.7558563  -0.9944762   0.9964648  -0.78748643 -1.
 -0.68863034  0.9015546   0.7414669   0.89632404  0.99989367  0.08244798
 -0.9967293   0.02777386  0.9455386  -0.9991346  -0.66663027  0.0844366
 -0.3284792   0.15461197  0.67621654 -0.22037235 -0.9825074  -0.99987686
  0.9999739  -0.9899863   0.88310194  0.46421215  0.2984909   0.90239704
 -0.9814694   0.99167013 -0.95211995  0.98690873 -0.8048677  -0.67009914
 -0.960142    0.8956113  -0.99990815 -0.9367721  -0.9938519   0.737704
 -0.9998295  -0.8438703  -0.99666125  0.05459813 -0.9994729  -0.9992665
  0.6994387   0.9087596   0.99989605  0.08655245 -0.9812794   0.99930507
 -1.         -0.07332902 -0.01670016  0.34669766  0.24419983 -0.98127997
  0.29626796 -0.9999915  -0.13634719  0.8782009  -0.999817    0.9202683
  0.85204005  0.9877343 ]",[-16.550367 -19.693481]
